Medication,Dosage,Description,NOTE,FOOD,BE_CAREFUL,DO_NOT_GIVE,SIDE_EFFECTS,INTERACTIONS,PREGANCY,BREAST_FEEDING,IMPORTANT,LENGTH_OF_TREATMENT ,Doxy_and_Children
Aspirin,1 tab = 300 mg,To treat pain and inflammation.,,Take with food or full glass of water to decrease stomach upset.,"Asthma, allergy, dehydration, gastric pain, G6PD deficiency, 
old people.","Gastric ulcer, Dengue Fever, children less than 16 years.","Gastric upset, bronchospasm.","- Aspirin increases effect of Phenytoin. 
- Prednisolone and Dexamethasone increase risk of stomach and 
intestinal bleeding).
- Aspirin decreases effect of Spironolactone.",Do not give last month of pregnancy.,Do not give.,,,
Atenolol,1 tab = 50 mg,To treat High Blood Pressure,,Can be taken with or without food.,"Kidney diseases, unstable heart failure","Asthma, diabetes.","Nightmares, cold extremities, tiredeness, low blood pressure, 
dizziness.",,Give only if necessary,Can give,See Hydrochlorothiazide.,,
Atropine,1 amp = 1 cc = 6 mg,To dry secretions before using ketamine.,"Many medics use Atropine for abdominal pain/spasms, but its
use for this problem is not recommended and its efficacy not 
sure.
It should not be used for abdominal pain.",,"Children and old people, gastro-oesophageal reflux, diarrhoea,
high blood pressure, fever.",,"Constipation, temporary slow heart rate, dilatation of the
pupils, pain in the eyes when looking at a light, dry mouth",,Give only if necessary,Give only if necessary,,,
Azythromycin,1 tab = 250 mg,"Antibiotic of the same group as Erythromycin.
More expensive, but more easy to use because is given once a day.
Useful to treat many bacterial infections: pneumonias, otitis, urethritis, tonsillitis,
pharingytis, cellulitis, whooping cough (pertussis), cholera, STIs (see p. 130)","-For community-acquired pneumonia give together with Ceftriaxone.    - Together with re-hydration fluids, Azythromycin can shorten the 
duration of diarrhoea and reduce the volume of stool losses.
- Can be used in Typhoid Fever if there is resistance to Ciprofloxacin.
For severe cases continue treatment for 7-10 days.",Can be taken with of without food.,Heart disease.,"Heart failure, liver failure. With Aluminium and Artesunate.","Joint pain, dizziness, headache, numbness, vision problems, taste not 
normal, gas in bowel. Not common: oedema, chest pain.",Aluminium reduces absorption of Azythrom.: do not give together.,Can give,Can give,,,
Benzathine Penicillin,,Antibiotic similar to Penicillin V and Amoxicillin.,,,,,,,,,,,
Benzyl Benzoate Lotion,,To treat Lice and Scabies.,,,,,,,,,,,
Buscopan (Hyoscine Butylbromide),1 vial = 1 cc = 20 mg,"To relieve pain from muscular spasms of urinary tract and intestine/bowel
(kidney/liver colics).",,Give with a full glass of water. Do not chew.,Old people; high blood pressure; diarrhoea.,,Constipation; urinary urgency and retention; dry mouth.,,Give only if necessary,Can give,,,
Carbamazepine,"1 tab = 200 mg. 1. Start with the lowest dose.
  2. Increase with small dose every week until no more seizures.","To treat epilepsy.
 First choice for focal and general epilepsy",,Give with food or full glass of water to decrease stomach upset.,"Heart disease, kidney disease, liver disease.",,"Nausea and vomiting, dizziness, drowsiness, headache, confusion,
vision problems (especially seing double), rash, blood disorders. 
Blurring of vision and dizziness are dose-related and will go away if
the dose is decreased or sometimes if time of taking the medication 
is changed.",,Do not give.,Can give,,,
Cefalexin,1 cap = 250 or 500 mg,"Antibiotic for bacterial infections: skin and soft tissue infections, urine tract infections,
urine tract infections prophylaxis (prevention), pneumonia.
1st choice antibiotic for not-compicated Urinary Tract Infections.","- For simple UTI (lower UTI) give for 3 days. 
- In pregnancy give for 7 days.
- For complicated UTI (pyelonephritis) give for 7-10 days.",Can be taken with food or without food.,"- Patients with epilepsy: high levels can increase risk of seizures.
- Patients with kidney disease: decrease dose if kidney functions is 
not normal.
- Patients who had a rash or oedema after using Amoxicillin or 
Penicillin.",If history of severe rash using Ceftriaxone,"Rash, headache, feeling sick (nausea, diarrhoea, stomach pain).",Zinc can decrease absorption of Cefalexin. Do not give together,Can give,Can give,,,
"Ceftriaxone (DIVIDED INTO 3 SECTIONS, NEED TO FIGURE OUT HOW TO DISPLAY)",1 amp = 1 g. Reconstitute 1 vial with 9.6 cc of Sterile Water !10 cc: 1 cc = 100 mg,"Antibiotic for severe bacterial infections.
Use as 1st choice. 2nd choice use Ampicillin + Gentamicin.",,,,,,,,,,,
Cetirizine (CANT ENTER DOSAGE???) --> ,,,,Can be taken with or without food,"Old people, people with liver and kidney diseases, epilepsy, people who
drink alcohol, people who work with machinery or driving.",,"Headache (especially in children), drowsiness, abdominal pain.",Alcohol increases drowsiness.,Give only if necessary,Give only if necessary,,,
Chloraphenicol,eye drops,"Antibiotic to treat bacterial conjunctivitis or to prevent bacterial infections after eye
injuries.",,,,,,,,,,,
Chloroquine NOT ON DRUG LIST.  APART OF MALARIA PROTOCOLS,,,"Chloroquine is still effective along the Thai-Burma border, but 
some resistance is slowly appearing.","- Better to take with food to decrease gastric upset. 
- For children crushed tablets can be mixed with sugar to mask the 
bitter taste.","Liver and kidney disease, G6PD deficiency.",,"Nausea and vomiting, headache, convulsions, visual problems, 
loss of hair colour or loss of hair, rash.",##saw listed with Aluminum ,Can give,Can give,,,
Chlorpheniramine - ORAL,1 tab = 4 mg,"For urticaria and allergic reactions (does not treat the cause, only the symptoms).",,Take with food or full glass of water to decrease stomach upset,See Cetirizine.,"Children with epilepsy, people who need to drive or to operate
machinery.","Drowsiness, headache, dry mouth, blurred vision, urinary 
retention",Alcohol increases drowsiness.,Give only if necessary,Give only if necessary,,,
Chlorpheniramine - IV/IM,1 amp =1 cc = 10 mg,"For emergency treatment of anaphylactic reactions (allergic shock) together with
Adrenaline. Give Adrenaline first!","Use 1 cc syringe if possible.
Give IV injection slowly, over 1 - 2 minutes.",,,,,,Can give,Can give,,,
Ciprofloxacin,1 tab = 250 or 500 mg,Antibiotic to be used for specific bacterial infections.,"Can be useful also in: bone, joint and gastro-intestinal infections.","Good to give with food to decrease gastric upset, but do 
NOT give with milk or yogurt. ","Epilepsy; G6PD deficiency, kidney failure, children, old people, liver 
disease, people with diabetes.","- NSAID (Ibuprofen, Indomethacin, Diclofenac...), 
Erythromycin, Amytriptiline.
- In people with heart failure, hypertension, old people 
(unless there is no other option). ","Abdominal pain; dizziness; sleep disorders; convulsions;
jaundice. Not common: psychoses, photosensitivity. SEVERE: Tendinopathy and tendon rupture, peripheral neuropathy. 
Can be irreversible.","- Ferrous/Iron, Aluminium, Calcium and Zinc decrease
absorption of Ciprofloxacin and decrease effect: give at separate
times of the day (not together).
- People taking anti-diabetic drugs may lose control of blood sugar
when they take Ciprofloxacin.
- Prednisolone and Dexamethasone may increase risk of tendon
rupture.
- Ciprofloxacin may decrease effect of Phenytoin.",Do not give.,Do not give.,,,
Clindamycin,1 cap = 150 or 300 mg,"Antibiotic for specific bacterial infections: bone and joints infections (osteomyelitis,
septic arthritis), diabetic foot, tooth infections.
Used in combination with Artesunate or Quinine for PF malaria (see pag. 175).","- Can be used in patients with sepsis in combination with Ceftriaxone if 
you do not have Metronidazole iv or oral .
- To use in Malaria treatment see: PF Malaria treatment","- Can be taken with or without food.
- Good to take with a full glass of water to avoid oesophageal upset.",Liver disease,Small children,"Diarrhoea (if severe STOP immediately), nausea, rash.",,Can give,Can give,,,
"Clindamicin with Artesunate (NOT APART OF DRUG LIST, POSSIBLY A DRUG GROUP)",,,"- Capsules can not be split or broken.
- For Malaria treatment always use Clindamycin together with 
Artesunate for 7 days.","- Can be taken with or without food.
- Good to take with a full glass of water to reduce risk of 
oesophageal irritation and ulceration.",,Baby less than 1 month old.,"Diarrhoea (STOP the drug), abdominal pain, jaundice, rash.",,Can give,Can give,,,
Cloxacillin ,1 caps = 250 mg,"Antibiotic used in chronic bone and respiratory infections, together with Metronidazole
and Amoxicillin. Useful in skin infections.","In chronic bone and respiratory infections give for 4 - 8 weeks in
combination with Metronidazole and Amoxicillin.",Take 30 minutes before food.,,,"Jaundice, haemolytic anaemia.",, Can give, Can give,,,
Clotrimoxazole cream,NO DOSAGE ,"Anti-fungal. To treat skin ringworms.
Not very effective for scalp ringworm. Not effective for nail ringworm.",NO NOTES (JUST TREATMENT TABLE),NO NOTES (JUST TREATMENT TABLE),NO NOTES (JUST TREATMENT TABLE),NO NOTES (JUST TREATMENT TABLE),NO NOTES (JUST TREATMENT TABLE),NO NOTES (JUST TREATMENT TABLE),NO NOTES (JUST TREATMENT TABLE),NO NOTES (JUST TREATMENT TABLE),,,
Co-amoxiclav,1 tab = 250(A)+125(C) or 500(A) + 125(C) or 875(A)+ 125(C) mg,"Antibiotic for bacteria infections when Amoxicillin does not work: respiratory tract
infections, bone and joint infections, abdominal infections, cellulitis, tooth infections.",,Better to take with food to decrease stomach upset.,"- Liver damage is more common using Co-amoxiclav than Amoxicillin 
alone. 
- Do not give therapy for longer than 14 days if possible.
- Stop if signs of liver damage (jaundice). ",Liver disease.,Diarrhoea can be more severe than with Amoxicillin alone.,,Can give,Can give,,,
Co-trimoxazole ,1 tab = 480 mg. (= TRIMETHOPRIM 80 mg + SULFAMETHOXAZOLE 400 mg),"Antibiotic for respiratory infections, skin bacterial infections, cellulitis, ear infections,
animal bite infections, pneumonias in chronic pulmonary disease, proSTATitis, septic
arthritis, diabetes foot infections, bone infections (in combination with Doxycycline)
You can use to treat acute Pneumonia, but if no improvement in 2 days, switch to
Amoxicillin",,"- Can take with or without food.
- Give with at least one full glass of water.",Asthma; G6PD deficiency.,Blood disorders; liver or kidney failure; < 6 weeks of age.,"Headache, liver damage, blood disorders, renal disorders, 
pancreatitis.",Cotrimoxazole increases effect of Phenytoin.,Do not give.,Be careful if the newborn baby has jaundice.,NO TREATMENT TABLE ,Length of treatment: - For proSTATitis: 4 – 6 weeks.- For septic arthritis: 4 tablets BID for 3 - 4 weeks.,
"Dapsone (NOT APART OF DRUG LIST, G6PD GROUP) ",,,,,G6PD deficiency,,,,,,,,
Dexamethasone,1 amp = 1cc = 4 mg,Anti inflammatory: for severe allergic reactions / shock.,See Prednisolone.,See Prednisolone.,See Prednisolone.,See Prednisolone.,See Prednisolone.,See Prednisolone.,Give only if necessary,Give only if necessary,,,
Dextrose 50%,1 amp = 20cc,Concentrated glucose solution to use to treat very low blood sugar levels," - It is irritant to veins: give via a large vein and use a large canula.
- For CHILDREN is better to use 5cc / kg of a 10%dextrose solution, if 
available.",,,,,,,,,,
"Diazepam (MULTIPLE NOTES, NEED TO FIGURE OUT HOW TO DISPLAY)","tab, 1 amp = 2 cc = 10 mg (0.2cc = 1mg)","There are NO indications for use of oral diazepam outside hospital.People can become addicted after only 2 weeks of use.Diazepam tablets should NOT be used outside hospital.  To stop acute fitting (= seizures, convulsions).","If possible, calculate dose by kg.
Give injection over 3 - 5 minutes.",,,,,,,,,,
Diclofenac,1 tab = 25 or 50 or 75 mg,To treat pain and inflammation.,See Ibuprofen.,See Ibuprofen.,See Ibuprofen.,See Ibuprofen.,See Ibuprofen.,See Ibuprofen.,Do not give.,Do not give.,,,
"Dihydroartemisinin+Piperaquine (DP) (NOT APART OF DRUG LIST, MALARIA GROUP) ",,,,,,,,,,,,,
Doxycycline,1 caps = 100 mg,"Antibiotic useful for many infections.
Can be used in combination to treat malaria (see Malaria Protocol pag. 173).","If you suspect Scrub Typhus, can give also to pregnant women. 
But if you have available, use Azythromycin.","- Better to give with food or milk to decrease gastric upset. 
- Give with a full cup of water.
- Have the patient sit upright for at least 30 minutes after taking 
the capsules.",Liver disease.,Children < 8 years (except if there is no other option).,"- Nausea/gastric pain, vomiting. 
- If patient starts to have a bad headache or vision problems: 
stop the drug.","- Aluminium, Iron and Zinc decrease absorption of 
Doxycycline.
- Carbamazepine and Phenobarbitone decrease effect of 
Doxycycline","- Do not give. 
- Exception: Scrub Typhus.",Give only if necessary,NEEDS MORE COLLUMS FOR EXTRA INFO,"- Pneumonias, animal bites, cellulitis : 1 - 2 weeks
- Scrub typhus, ear infections, mouth infections,
sinusitis, urine infections: 5 - 7 days
- Bone infections (together with Cotrimoxazole): 8 weeks
- Leptospirosis 1 week
- Early syphilis: 2 weeks
- Late syphilis 4 weeks
- Filariasis 6 - 8 weeks","For a long time it has been advised not to use Doxycycline in
children less than 8 years of age as it was thought it could
cause discoloration of teeth and incomplete tooth
development.
However new studies have showed that these side-effects are
linked especially to Tetracyclines and not to Doxyxycline.
If no other therapy is available"
Doxycycline with Aresunate (NOT APART OF DRUG LIST) ,,,"- Capsules can not be split or broken.
- For Malaria treatment always use Doxycycline together with 
with Artesunate for 7 days.","Good to take with a full glass of water and ask the patient to 
sit up for half hour to reduce risk of oesophageal irritation 
and ulceration.","In children < 8 years and pregnant women give only if you
do not have other options.",,Headache or vision problems (stop the drug). Vomiting.,"- Aluminium, Iron and Zinc decrease absorption of Doxycycline.
- Carbamazepine and Phenobarbitone decrease effect of 
Doxycycline.",Give only if necessary,Can give,,,
Enalapril,1 tab = 5 or 20 mg,"To treat high blood pressure, heart failure. If possible, ask a doctor for advice.","Can be given in combination with Amlodipine and
Hydrochlorothiazide.",Can take with or without food. ,"If possible, avoid using in people with kidney problems",Together with Spironolactone (there is risk of high Potassium).,"Blood Pressure can decrease too much, kidney problems, dry 
cough, high Potassium.","- Aluminium decreases absorption of Enalapril.
- Alcohol, Atenonolol, Hydrochlorothiazide, Furosemide increase
effect.",Do not give.,Avoid during first month.,See Hydrochlorothiazide.,,
Ergometrine,SEE PAGE 134,SEE PAGE 134,SEE PAGE 134,,,,,,,,,,
Erythromycin,,,,"Can take with or without food.
But if possible take after food to decrease stomach upset.",Liver disease and kidney disease.,,"Nausea, diarrhoea, rashes.",,Can give,Can give,,,
"Ferrous Iron, Ferrous Sulphate, Ferrous Fumarate. (NEED SCREENSHOT FOR EXTRA FIELDS) ",FERROUS SULFATE (F/S) - 200 mg tab = ELEMENTAL IRON ~40 mg. FERROUS FUMARATE (F/F)-100 mg tab = ELEMENTAL IRON ~ 33 mg,For treatment and prevention of anaemia.," These guidelines are for a population where the prevalence of anaemia
is > 40%, as in Karen State and many parts of Burma. - Tell the people that stool will become dark in colour","In theory it is better to take on empty stomach. But many people get
stomach upset and stop taking treatment. If stomach upset, take with
food. Do not give with milk or yogurt","If a child swallows many tablets the child can die.
Keep the tablets away from children.",,Often stomach pain if taken BID or TID; constipation.,"- Ferrous decreases absorption of Ciprofloxacin and Doxycycline.
- Ferrous decreases effect of Methyldopa.",,,NEEDS MORE COLLUMS FOR EXTRA INFO,,
Fluconazole,1 cap = 50 or 150 or 200 mg,Anti-fungal.,,Can take with or without food.,"- Liver and kidney disease.
- Avoid using with other drugs that can damage the liver.",,"Headache, rash (stop treatment).",,Can give,Can give,,,
Fluoxetine,1 tab = 20 mg,"Anti-depressant, generalised anxiety disorder and panic disorder.","- To stop therapy, reduce slowly by 10 mg every 2 - 4 weeks.
- Patients may have more anxiety for the first 2 - 3 weeks after starting
the medication.", Can be taken with food or without food.," - Heart disease, diabetes, epilepsy, gastro-intestinal bleeding.
- In young adult can cause suicidal thinking.
- Patients should not drive or operating machinery."," - With Amitryptiline; with Tramadol.
- To patients with not controlled epilepsy","- Diarrhoea, abdominal pain, nausea, constipation, gastric pain,
anxiety, convulsions, drowsiness, dizziness, dry mouth, dry eyes, 
headache, increased sweating, decreased libido.
- RARE SYNDROME: tremor, rigidity, tachycadia, high or low blood
pressure, diarrhoea, shivering, high temperature, agitation, confusion","- Alcohol: more risk of feeling sleepy.
- Carbamazepine, Phenobarbitone, Phenytoin: reduce effect of 
Fluoxetine.
- Fluoxetine decreases effect of Carbamazepine, 
Phenobarbitone, Phenytoin.",Give only if necessary,Give only if necessary,,,
Folic Acid,1 tab = 5 mg,,,Can take with or without food.,,,,,,,,,
Furosemide PO,1 tab = 20 or 40 mg,"Diuretic.
 For early phase of nephrotic syndrome, for chronic heart failure.",,Can take with or without food.,"Old people, low blood pressure, gout, diabetes.",Dehydration.,"Low Sodium and low Potassium, low blood pressure, 
high glucose.",,Do not give to treat high blood pressure (use Methyldopa).,Can give,,,
Furosemide IV,1 amp = 2 cc = 20 mg,"Diuretic.
 Emergency treatment for patients in pulmonary oedema (acute heart failure)
and very high blood pressure (>220/120).",Repeat after 1 - 2 hours if not improving.,,"Old people, low blood pressure, gout, diabetes","Dehydration, to treat high blood pressure in pregnancy (use
Labetalol or Hydralazine).","Low Sodium and low Potassium, low blood pressure, 
high glucose.",,Give only if necessary,Can give,,,
Gentamicin,1 amp = 2 cc = 80 mg,"Antibiotic to use together with ampicillin for severe bacterial infections:
meningitis, sepsis, severe pneumonia, severe kidney infections, severe biliary-tract
infections, severe trauma.","- If possible, calculate the dose by weight.
- Can use Ceftriaxone instead of Ampicillin+Gentamicin.
- Max duration 7 days.",,Kidney disease.,"If possible, do not give with Furosemide. If you have to, give
one drug in the morning and the other one in the evening.",Ear and kidney damage,,If possible avoid and use Ceftriaxone.,Can give,,,
Gentamicin,Eye Drops,"Antibiotic drops.
To treat bacterial conjunctivitis or to prevent bacterial infections after eye injuries.","CHILD and ADULT At the beginning 1 drop every 2 hours, after improvement QID. 
Continue for 48 hours after healing.",,,,,,,,,,
Gliclazide,1 tab = 40 mg,"To treat Diabetes Type 2. Alone or in combination with Metformin when this one alone
can not control blood sugar levels.","Teach patients to recognise symptoms of low blood sugar 
(sweating, weak, confusion, nightmares) and take fruit or food 
or sugar to raise blood sugar. If having low blood sugar 
frequently, reduce dose of Gliclazide.","- Take with meals at same time every day. 
- If people eat less or do not eat, tell them not to take the
medicine that day.","Old people can get more easily in hypoglycaemia (very low
sugar); G6PD deficiency","In people with heart disease who are taking Atenolol or
Propranolol or other drugs of the same family (Beta-blockers)","Low blood sugar, high blood pressure, headache, dizziness
diarrhoea, back and joint pain, viral infections, bronchitis.","- Gliclazide can increase toxic effect of Alcohol.
- Atenolol and Ciprofloxacin can increase risk of 
hypoglycaemia.
- Hydrochlorothiazide may decrease effect of Gliclazide",Do not give.,"Can give, but mother needs to be careful not to go into 
hypoglycaemia.","Start with 40 mg to be taken with breakfast.
If blood sugar still high, increase by 40 mg every 2 weeks.
Stop increasing dose as soon as blood sugar level is normal.
Maximum dose 160 mg BID.",,
Glipizide,1 tab = 5 mg,"To treat Diabetes Type 2. Alone or in combination with Metformin when this one alone
can not control blood sugar levels.","- If glucose still high with maximum dose, check if the patient is 
following a sugar free diet and if he is taking the drugs correctly. 
If yes, switch to Metformin or add Metformin. 
If already done, if possible send to specialist.
- Teach patients to recognise symptoms of low blood sugar 
(sweating, weak, confusion, nightmares) and take fruit or food 
or sugar to raise blood sugar. If having low blood sugar 
often, reduce dose of Glipizide.","- Take 30 minutes BEFORE meal.
- If people one day eat less than normal or do not eat one meal, tell
them not to take the medicine that day.","- Liver disease, alcohol use, G6PD deficiency.
- Old people can get more easily in hypoglycaemia (very low sugar).",See Gliclazide,"Low blood sugar, gastric upset, diarrhoea, dizziness, tremor.",See Gliclazide,Do not give.,"Can give, but mother needs to be careful not to go into 
hypoglycaemia.","Start with 2.5 mg to be taken 30 minutes before breakfast.
If blood sugar still high, increase by 2.5 mg every 2 weeks.
Stop increasing dose as soon as blood sugar level is normal.
Maximum dose 10 mg BID",,
Griseofulvin,1 tab = 500 mg,"Anti-fungal. To treat ringworm of the scalp and generalised ringworm of the skin in children and adults over 50 years. (To treat localised ringworm of skin, use Clotrimazole cream).",,"Give after meals (if possible with some fat, like oil, to
increase absorption).",,"- Adults (both men and women should not take it - it
can cause birth defects).
- Severe liver disease.",Headache; dizziness; blood disorders.,,Do not give.,Do not give.,,,
Hydrochlorothiazide,1 tab = 50 mg,To treat high blood pressure.  Start treatment only if BP > 160/110 on at least 3 checks over several weeks and if youcan follow the patient with supply of drugs (it is a chronic disease!). Start treatment immediately only if BP > 220/120.,"- Doses higher than 25 mg usually are not more effective and 
give more side-effects.
- Give in the morning to avoid passing urine at night",Can take with or without food.,"Diabetes, gout, kidney diseases, malnutrition,liver disease, 
Systemic Lupus Erythematosus.",Severe liver disease.,,"- Alcohol, Furosemide, Prednisolone increase effect of 
Hydroclorothiazide.
- Carbamazepine, Prednisolone: more risk of low sodium.
- Ibuprofen, Indomethacin, etc.: more risk of kidney damage,
and less diuretic effect.
- Hydroclorothiazide decreases effect of Anti-diabetic drugs.
- Hydroclorothiazide increases concentration of Fluconazole.",Do not give: use Methyldopa.,Can give,"Start on a drug to treat high blood pressure only after patient has tried
for 1- 2 months to have a healthy lifestyle with regular exercise and a
healthy diet: reduce intake of salt, alcohol, coffee, sugary drinks; stop
or reduce smoking and reduce weight if overweight.
- When starting therapy explain that the tablets have to be taken
longterm. If the patients stop taking the tablets when they feel better,
the blood pressure will go up again.
- The tablets do NOT CURE the high blood pressure, but only
CONTROL.
- If possible, check Creatinine before starting and then every year.",,
Ibuprofen,1 tab = 200 or 400 mg,"To treat pain, inflammation, fever with discomfort in children."," People’s bodies react in different ways to anti-inflammatories: one medicine 
can be good for one person but not for another. 
 For example: one person can improve with Ibuprofen but not with Diclofenac; 
 another can improve with Diclofenac but not with Ibuprofen; another can 
 improve with Indomethacin and not with Diclofenac, etc. This means that if a 
 person does not get better with one, you can try another one and then 
 another one. Anti-inflammatories found in different clinics: Aspirin, Diclofenac, 
 Ibuprofen, Indomethacin, Ketoprofen, Meloxicam, Naproxen.",Take with food or milk to avoid gastric upset,"Old people, kidney problems, asthma, heart problems.","Peptic ulcer (new and old); Dengue fever, together with Aspirin, 
allergy to Aspirin, kidney failure, severe heart failure, severe liver 
disease.","Stomach pain,peptic ulcers, kidney damage, rash, headache, 
dizziness, hearing problems; kidney failure.","- Ciprofloxacin and Norfloxacin: more risk of convulsions.
- Dexamethasone and Prednisolone (corticosteroid group): more risk 
of stomach bleeding.
- Furosemide and Hydrochlothiazide: more risk of kidney damage.
- Ibuprofen increases effects of Phenytoin.
- Ibuprofen decreases effects of Atenolol and Propanolol.",Do not give.,Give only if necessary,,,
Indomethacin,1 tab = 25 mg,To treat pain and inflammation.,See Ibuprofen.,See Ibuprofen.,"See Ibuprofen. 
Also epilepsy, psychiatric problems.",See Ibuprofen.,See Ibuprofen.,See Ibuprofen.,Do not give.,Give only if necessary,,,
Itraconazole,1 tab = 100 or 200 mg,Anti-fungal used for difficult fungal infections.,"If possible, consult with a doctor before starting Itraconazole."," - Take tablets after a full meal.
- Swallow the tablets whole: do not chew, break or crush","Kidney disease, heart failure.","With Carbamazepine, Dexamethasone, Domperidone,
Phenobarbitone, Phenytoin, Prednisolone, Rifampicin.","Diarrhoea, nausea, headache, heart failure, rash, vomiting,
constipation, loss of hair, peripheral neuropathy","- Aluminium and Omeprazole decrease absorption of Itraconazole:
take Itraconazole 2 hrs before or 1 hr after taking these drugs.
- Sodium Valproate can increase liver toxicity.",Do not give.,Do not give.,,,
